Issue / Proposed Solution template (group),https://docs.google.com/document/d/1jOoTu44L22LG-_DfnTNdscBg2EJ_dSZgTujc5utK4yc/edit#heading=h.b81xwnfqvmsc
Issue / Proposed Solution template (1-1),https://docs.google.com/document/d/1Hn_E1UFYruM1sXATsSwIydIJ4EsxMvxlnyoypOVRb_M/edit#heading=h.6ww0l7nn95nc
"Issues/Solutions Tracker, example",https://docs.google.com/document/d/10tbkv1CekNuZwSliDPX5oQAbrSSYEkfNw06EumXwl9w/edit#heading=h.a4o1927ut9qj
Agreement-Tracker:  why you need one (3 min),https://docs.google.com/document/d/1QzGvP6MrmlD6YVilTiNjEsPgRRvjzvWrqGXKSz_c68k/edit
DRIs:  Directly-Responsible Individuals (3 min),https://docs.google.com/document/d/1I4jBy1XryEdknFoDCMUY93PEn0rR-oOOx6yiLSiaa38/edit
Clean Escalate (2 min),https://docs.google.com/document/d/1mDxWPYirGOvs1MxdCkI98U-_7lNjr_b10jclR_D-laQ/edit
Lord of the Flies (1 min),https://docs.google.com/document/d/1YFeiiqbU0-T8wkvNAU9LG2WA-yrl9vomLkcrZfQZTqk/edit#
Loudest voice in the room (1 min),https://docs.google.com/document/d/1OKJnyxUZDOcPQF0VtERizzyvKgBiqwOA7aL2dMcFSdw/edit
The Essential ‘Challenger’ Role on Your Team (3 mins) (By Celine Teoh),https://docs.google.com/document/d/1Z_mOOt5qPPX5LrKCPmYz1S7KSMo-BGwRdHRISTDgFCk/edit?usp=sharing
"Mission, Vision, Values:  How to create them (2 min)",https://docs.google.com/document/d/1L6ks72TkBIlgPDh6_n-NBBE7e_7nQ2YZ6B4BF12IQEs/edit#
[PUBLIC] Mochary Method - Vision 2031 (example),https://docs.google.com/document/d/1MXIRwcdiAGL_eI7EYQMkgFvPhq_DW-pRqfOzZ2V-ghs/edit#
"Personal Info, Team - example (1 min)",https://docs.google.com/spreadsheets/d/1Ti_xaV9IVvj-bklxOjNY-IeGsC-YqcgvB03qvfFQrnI/edit#gid=0
"Budgeting (2 min reading, 12 min video)",https://docs.google.com/document/d/10WsABnJuOqmP1ACIMiu5khXQnOGwklndjDPdVyRSWb8/edit
OKR Creation (6 min),https://docs.google.com/document/d/1GoiH4pwsph5rwSM_wMMiMJkX6-qFVwO0SVYkodNZhwg/edit
"OKR Tracker, example (2 min)",https://docs.google.com/spreadsheets/d/1_TgYK7fHvUXWrcIhGgUeeq8OoFi0LQ6usQm3r7owZA0/edit
AORs (2 min),https://docs.google.com/document/d/1v72Mozz6Zr-3Knzcd9yNcs1E8-QKk5NkTVmR6pIQj98/edit?usp=drive_web&ouid=102503928790226855337
Process Audit,https://docs.google.com/document/d/17cIYws2Al1JHO6s3QC1_BwyfTjpUSdQR6p8Xkdb0bWM/edit?usp=drive_web&ouid=102503928790226855337
Processes Template,https://docs.google.com/spreadsheets/d/1ky1BNH7f1xVa-hw7WOxI298a2nNP81OdORpbKdxLCj4/edit#gid=0
Motivating your team (3 min),https://docs.google.com/document/d/14kFZcqm3zaS5uY4QmG307BViQyoSbDDS1U04NpYhmes/edit
Magic Questions (1 min),https://docs.google.com/document/d/1SLHeBWEXHk9SEvUKUU1hMsxl-U-IRaeZqA-wpx02lb4/edit
Praise (3 min),https://docs.google.com/document/d/1aXFhFbtIxmUdrUe9y341ghd-EJ89hJZ7g9tOKnw16FI/edit
Conflict Resolution (aka Relationship-Building) (10 min),https://docs.google.com/document/d/1NzF-otDuBWKC2GShJKcFsxCyabK1V3skQwCMU89tDmY/edit#
Board feedback with Matt Mochary (5 min),https://docs.google.com/document/d/1sPsqJVz37Gs3Fy48w57pGzAdB905OtZ4ZRCvaM2B07U/edit
Exec Team feedback with Matt Mochary (6 min),https://docs.google.com/document/d/1ypDupvtn9IaFY1yk_Y1FShJYQD_bnN7uXKvBDLKGbQE/edit
Regina Gerbeaux’s Resources for Operators,https://www.notion.so/Regina-Gerbeaux-s-Resources-f229f29df96b494cb68da10f19553b0b
Key Leadership Competencies by Faith Meyer (2 min),https://docs.google.com/document/d/1GiDXcdKUyT3AKA0L5MLi-oXUk4B27gASxBwqXVTYbUw/edit?usp=sharing
"Remote happiness, how to create it (9 min)",https://docs.google.com/document/d/19LLfA6TgDoynzduB-2Xp0XHmMN5lUiRxx8ht3VjYJ0E/edit
How to maintain personal connection in a remote world (3 min),https://docs.google.com/document/d/15bF88nIzZGJT9NTDXK6IR1ZzRCBqYMr8NK_No8nM0aI/edit
"WFH guide (Clearbit) 	(a while)",https://drive.google.com/file/d/1vg5bZbujBJ6C1fAOP-l386p4iZp9OIAZ/view
Do Remote Right (work in progress),https://docs.google.com/document/d/1BY8fjKuF-NSQdMcw9SDwnYM1ZJLSW1bW7SNSzOHd-wU/edit
Zoom - look like a rock star (5 min),https://docs.google.com/document/d/1eq3NxJxFX7gjPJHB9OLjVXQyZInJLlwMq4tyTLuKcbM/edit
Remote:  Gitlab’s Guide to All-Remote (a while),https://about.gitlab.com/company/culture/all-remote/guide/
Remote: Dropbox virtual first toolkit (a while),https://blog.dropbox.com/collections/virtual-first-toolkit
Remote Team by Zapier (a while),https://zapier.com/learn/remote-work/
